date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linenscombo,linel2,linegametime,lineray1,linefox,linedunk,linegirl,linegabe,lineboyd,linemass,linedok,lineblc
11/4/2009,Minnesota,90,Boston,92,-12,-10.13,-13.45,-13.29,-14.03,-9.5,-0.67,-9.6,.,.,-11.5,-10.17,-12,-13.1,-10.86,.,.,.,-6.05,.
11/4/2009,New Jersey,94,Denver,122,-9,-6.88,-9.16,-10.62,-7.99,-9,-1.2,-6.2,.,.,-9,-2.56,-11,-4.91,-11.35,.,.,.,-3.98,.
11/4/2009,New York,89,Indiana,101,5,3.27,1.69,2.13,1.12,4,2.52,4.7,.,.,3,8.56,0.01,4.75,1.28,.,.,.,4.65,.
11/4/2009,New orleans,114,Dallas,107,4,-2.3,-3.01,-3.62,-2.42,4,-0.1,1.6,.,.,-0.25,-5.37,-7,-4.47,-1.05,.,.,.,-0.33,.
11/4/2009,Orlando,122,Phoenix,100,8,6.96,3.38,2.12,4.52,8,2.95,9.2,.,.,6.75,12.99,7,13.13,5.32,.,.,.,5.65,.
11/4/2009,Sacramento,105,Atlanta,113,-6,-6.21,-6.4,-6.91,-5.93,-6.5,-1.1,-2.3,.,.,-6,-10.99,-7,-11.16,-7.77,.,.,.,-2.99,.
11/4/2009,Toronto,110,Detroit,99,8,3.35,1.31,1.46,1.1,8,1.42,4.3,.,.,2.5,5.7,2,8.33,3.37,.,.,.,3.36,.
11/4/2009,Washington,89,Miami,93,2,0.88,2.17,1.86,2.48,3,2.19,3.6,.,.,2.25,0.01,-4,2.2,-2.64,.,.,.,0.8,.
11/5/2009,Cleveland,85,Chicago,86,11.5,7.62,4.34,0.7,8.04,11.5,4.52,11,.,.,8.5,4.68,13,7.32,7.73,.,.,.,10.75,.
11/5/2009,Utah,113,San Antonio,99,0,0.04,-2.27,-2.23,-2.43,-1.5,0.42,2.1,.,.,-0.75,5.25,2,-0.27,0.36,.,.,.,-4.05,.
11/6/2009,Boston,103,Phoenix,110,10.5,9.43,8.84,6.35,11.06,9,3.57,12.1,.,.,10.25,10.17,9,14.03,8.11,.,.,.,9.68,.
11/6/2009,Charlotte,103,Atlanta,83,-2,-3,-6.1,-5.05,-7.99,-3.5,-1.57,-2.1,.,.,-1.75,-7.02,-2,-0.77,-1.88,.,.,.,0.1,.
11/6/2009,Golden State,90,LA Clippers,118,4.5,4.98,4.83,5.76,4.03,5.5,4.06,4.4,.,.,4.25,2.61,9,6.01,3.49,.,.,.,6.17,.
11/6/2009,Houston,105,Oklahoma City,94,6.5,8.29,6.93,7.67,6.24,6,1.03,12,.,.,4.75,14.19,12,9.97,9.14,.,.,.,5.93,.
11/6/2009,Indiana,102,Washington,86,1.5,0.96,0.44,2.73,-2.04,1.5,0.06,0.2,.,.,0.01,-4.86,6,3.65,2.29,.,.,.,1.57,.
11/6/2009,LA Lakers,114,Memphis,98,10,14.05,13.83,16.36,12.01,10,6.92,17.1,.,.,15.5,14.35,17,14.16,13.05,.,.,.,14.07,.
11/6/2009,Miami,96,Denver,88,1,0.83,2.01,2.71,1.43,-1,2.95,1.6,.,.,-1,2.97,-3,2.26,-0.95,.,.,.,-0.62,.
11/6/2009,Minnesota,72,Milwaukee,87,2.5,1.07,-1.49,-3.63,0.03,3.5,2.68,4.2,.,.,0.75,2.47,-1,0.9,6.15,.,.,.,-1.82,.
11/6/2009,New York,91,Cleveland,100,-8,-5.39,-4.79,-1.74,-8.88,-9.5,-0.57,-6.6,.,.,-6,-1.69,-8,-6.88,-7.5,.,.,.,-5.99,.
11/6/2009,New orleans,90,Toronto,107,5,2.07,1.38,3.53,-0.67,6,0.02,6.7,.,.,3.5,4.76,-2,-0.29,0.94,.,.,.,4.17,.
11/6/2009,Orlando,110,Detroit,103,13,11.9,9.76,10.47,9.31,13,4.59,11.8,.,.,9.75,22.88,12,15.24,9.88,.,.,.,13.12,.
11/6/2009,Philadelphia,97,New Jersey,94,12,8.83,11.17,12.68,9.74,11,5.16,9.5,.,.,10.25,4.53,5,11.36,9.76,.,.,.,10.36,.
11/6/2009,Portland,96,San Antonio,84,4,4.65,7.02,6.65,7.73,1,2.4,4.3,.,.,3.75,-1.2,11,7.47,2.19,.,.,.,2.21,.
11/7/2009,Atlanta,125,Denver,100,3,-0.21,-1.53,0.19,-3.08,2,1.95,0.4,.,.,-0.75,4.35,-7,0.69,0.78,.,.,.,0.35,.
