,Unnamed: 0,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,game_date,hscore,rscore,date,home,road,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
29,30,"Sat, Nov 1, 2014",Box Score,Los Angeles Lakers,104,Golden State Warriors,127,,,2014-11-01 00:00:00,127,104,11/01/2014,Golden State,LA Lakers,15.0,13.52,15.63,22.12,12.65,15.5,4.96,13.0,22.61,6.75,15.0,16.0,15.82,11.37,11.68,9.3,,12.34
30,31,"Sat, Nov 1, 2014",Box Score,Boston Celtics,90,Houston Rockets,104,,,2014-11-01 00:00:00,104,90,11/01/2014,Houston,Boston,8.0,9.36,7.8,6.01,13.96,8.0,3.37,13.9,6.09,0.01,12.0,12.0,13.13,12.68,12.22,11.2,8.3,7.69
31,32,"Sat, Nov 1, 2014",Box Score,Chicago Bulls,106,Minnesota Timberwolves,105,,,2014-11-01 00:00:00,105,106,11/01/2014,Minnesota,Chicago,-2.5,-1.35,-4.69,-5.95,-5.29,-4.5,1.85,-6.1,-6.17,2.25,0.01,3.0,2.76,5.88,4.77,-9.7,,-1.57
32,33,"Sat, Nov 1, 2014",Box Score,Dallas Mavericks,109,New Orleans Pelicans,104,,,2014-11-01 00:00:00,104,109,11/01/2014,New Orleans,Dallas,-1.0,1.27,4.17,6.2,1.8,1.0,3.38,-0.8,5.91,5.0,-1.0,-2.0,-2.8,3.73,-1.41,-6.0,,1.56
33,34,"Sat, Nov 1, 2014",Box Score,Denver Nuggets,91,Oklahoma City Thunder,102,,,2014-11-01 00:00:00,102,91,11/01/2014,Oklahoma City,Denver,-5.0,2.58,2.9,-0.51,8.61,-5.5,1.27,13.2,-0.16,-8.0,5.0,2.0,8.22,-6.2,10.16,-2.5,2.2,
34,35,"Sat, Nov 1, 2014",Box Score,Toronto Raptors,108,Orlando Magic,95,,,2014-11-01 00:00:00,95,108,11/01/2014,Orlando,Toronto,-6.0,-4.75,-6.97,-11.32,-3.44,-7.0,1.27,-2.5,-11.33,-2.75,-7.0,-4.0,-6.32,0.08,-4.12,-5.2,,-2.9
35,36,"Sat, Nov 1, 2014",Box Score,Miami Heat,114,Philadelphia 76ers,96,,,2014-11-01 00:00:00,96,114,11/01/2014,Philadelphia,Miami,-9.0,-7.56,-10.15,-14.78,-7.44,-9.5,1.27,-5.4,-14.78,-3.5,-10.0,-10.0,-12.42,-4.33,-5.93,-1.2,,-7.12
36,37,"Sat, Nov 1, 2014",Box Score,Phoenix Suns,91,Utah Jazz,118,,,2014-11-01 00:00:00,118,91,11/01/2014,Utah,Phoenix,-2.5,-3.08,-3.24,-5.05,-2.41,-2.0,0.75,0.0,-4.83,-2.5,-11.0,-1.0,-5.32,2.37,-2.85,-5.5,,-2.6
37,38,"Sat, Nov 1, 2014",Box Score,Milwaukee Bucks,97,Washington Wizards,108,,,2014-11-01 00:00:00,108,97,11/01/2014,Washington,Milwaukee,9.0,9.6,10.48,10.56,13.58,8.5,1.85,14.6,10.28,0.25,9.0,13.0,11.71,5.44,10.64,14.2,,8.83
38,39,"Sun, Nov 2, 2014",Box Score,Sacramento Kings,98,Los Angeles Clippers,92,,,2014-11-02 00:00:00,92,98,11/02/2014,LA Clippers,Sacramento,9.0,9.53,10.93,11.98,14.35,10.5,4.9,15.9,11.63,1.61,12.0,14.0,10.17,12.2,4.27,9.6,9.3,0.15
