,Unnamed: 0,Unnamed: 0.1,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,line_x,game_date,hscore,rscore,date_x,home_x,road_x,line_y,lineavg_x,linesag_x,linesage_x,linesagp_x,lineopen_x,linemoore_x,linepower_x,linenscombo_x,linel2_x,linegametime_x,lineray1_x,linefox_x,linedunk_x,linegirl_x,linegabe_x,lineboyd_x,linemass_x,linedok_x,lineblc_x,line_x,date_y,home_y,road_y,line_y,lineavg_y,linesag_y,linesage_y,linesagp_y,lineopen_y,linemoore_y,linepower_y,linenscombo_y,linel2_y,linegametime_y,lineray1_y,linefox_y,linedunk_y,linegirl_y,linegabe_y,lineboyd_y,linemass_y,linedok_y,lineblc_y
21,21,22,"Fri, Oct 30, 2009",Box Score,Oklahoma City Thunder,91,Detroit Pistons,83,,,0,2009-10-30 00:00:00,83,91,10/30/2009,Detroit,Oklahoma City,5,8.69,11.0,10.94,11.07,6.5,3.0,10.3,.,.,5.75,11.57,8.0,5.96,12.77,.,.,.,7.58,.,0,10/30/2009,Detroit,Oklahoma City,5,8.69,11.0,10.94,11.07,6.5,3.0,10.3,.,.,5.75,11.57,8.0,5.96,12.77,.,.,.,7.58,.
22,22,23,"Fri, Oct 30, 2009",Box Score,Miami Heat,96,Indiana Pacers,83,,,0,2009-10-30 00:00:00,83,96,10/30/2009,Indiana,Miami,1.5,0.87,2.26,2.72,1.82,-1,1.95,-2.3,.,.,0.01,0.1,0.01,2.17,1.43,.,.,.,0.76,.,0,10/30/2009,Indiana,Miami,1.5,0.87,2.26,2.72,1.82,-1,1.95,-2.3,.,.,0.01,0.1,0.01,2.17,1.43,.,.,.,0.76,.
23,23,24,"Fri, Oct 30, 2009",Box Score,Dallas Mavericks,94,Los Angeles Lakers,80,,,0,2009-10-30 00:00:00,80,94,10/30/2009,LA Lakers,Dallas,8,8.96,9.97,10.12,9.85,9,4.05,10.2,.,.,9.0,3.5,15.0,11.28,10.18,.,.,.,6.46,.,0,10/30/2009,LA Lakers,Dallas,8,8.96,9.97,10.12,9.85,9,4.05,10.2,.,.,9.0,3.5,15.0,11.28,10.18,.,.,.,6.46,.
24,24,25,"Fri, Oct 30, 2009",Box Score,Toronto Raptors,107,Memphis Grizzlies,115,,,0,2009-10-30 00:00:00,115,107,10/30/2009,Memphis,Toronto,-2,-0.88,-2.98,-2.32,-3.68,-4,1.95,0.2,.,.,-3.5,0.95,3.0,-1.46,-2.98,.,.,.,-0.95,.,0,10/30/2009,Memphis,Toronto,-2,-0.88,-2.98,-2.32,-3.68,-4,1.95,0.2,.,.,-3.5,0.95,3.0,-1.46,-2.98,.,.,.,-0.95,.
25,25,26,"Fri, Oct 30, 2009",Box Score,Cleveland Cavaliers,104,Minnesota Timberwolves,87,,,0,2009-10-30 00:00:00,87,104,10/30/2009,Minnesota,Cleveland,-12.5,-4.7,-3.81,-2.63,-5.16,-11,4.58,-7.0,.,.,-6.75,0.6,-9.0,-11.1,-7.0,.,.,.,-3.57,.,0,10/30/2009,Minnesota,Cleveland,-12.5,-4.7,-3.81,-2.63,-5.16,-11,4.58,-7.0,.,.,-6.75,0.6,-9.0,-11.1,-7.0,.,.,.,-3.57,.
26,26,27,"Fri, Oct 30, 2009",Box Score,Orlando Magic,95,New Jersey Nets,85,,,0,2009-10-30 00:00:00,85,95,10/30/2009,New Jersey,Orlando,-10.5,-5.43,-5.37,-5.72,-5.05,-8,1.95,-5.7,.,.,-7.5,-9.51,-6.0,-9.22,-3.69,.,.,.,-3.87,.,0,10/30/2009,New Jersey,Orlando,-10.5,-5.43,-5.37,-5.72,-5.05,-8,1.95,-5.7,.,.,-7.5,-9.51,-6.0,-9.22,-3.69,.,.,.,-3.87,.
27,27,28,"Fri, Oct 30, 2009",Box Score,Sacramento Kings,92,New Orleans Hornets,97,,,0,2009-10-30 00:00:00,97,92,10/30/2009,New orleans,Sacramento,11.5,8.91,10.56,10.51,10.63,10,3.0,11.2,.,.,10.75,4.98,6.0,9.39,14.48,.,.,.,8.15,.,0,10/30/2009,New orleans,Sacramento,11.5,8.91,10.56,10.51,10.63,10,3.0,11.2,.,.,10.75,4.98,6.0,9.39,14.48,.,.,.,8.15,.
28,28,29,"Fri, Oct 30, 2009",Box Score,Milwaukee Bucks,86,Philadelphia 76ers,99,,,0,2009-10-30 00:00:00,99,86,10/30/2009,Philadelphia,Milwaukee,7,4.98,6.05,6.29,5.77,8,2.47,9.0,.,.,6.75,4.86,1.0,4.55,4.23,.,.,.,4.91,.,0,10/30/2009,Philadelphia,Milwaukee,7,4.98,6.05,6.29,5.77,8,2.47,9.0,.,.,6.75,4.86,1.0,4.55,4.23,.,.,.,4.91,.
29,29,30,"Fri, Oct 30, 2009",Box Score,Golden State Warriors,101,Phoenix Suns,123,,,0,2009-10-30 00:00:00,123,101,10/30/2009,Phoenix,Golden State,5,7.28,9.49,11.17,8.02,7,4.05,9.7,.,.,4.5,3.9,7.0,10.07,8.87,.,.,.,5.51,.,0,10/30/2009,Phoenix,Golden State,5,7.28,9.49,11.17,8.02,7,4.05,9.7,.,.,4.5,3.9,7.0,10.07,8.87,.,.,.,5.51,.
30,30,31,"Fri, Oct 30, 2009",Box Score,Los Angeles Clippers,98,Utah Jazz,111,,,0,2009-10-30 00:00:00,111,98,10/30/2009,Utah,LA Clippers,8.5,9.8,12.31,13.75,11.23,8.5,3.53,11.3,.,.,7.25,6.24,13.0,10.36,12.96,.,.,.,8.4,.,0,10/30/2009,Utah,LA Clippers,8.5,9.8,12.31,13.75,11.23,8.5,3.53,11.3,.,.,7.25,6.24,13.0,10.36,12.96,.,.,.,8.4,.
31,31,32,"Sat, Oct 31, 2009",Box Score,Charlotte Bobcats,79,Cleveland Cavaliers,90,,,0,2009-10-31 00:00:00,90,79,10/31/2009,Cleveland,Charlotte,14.5,11.14,9.47,6.89,12.76,12.5,3.47,16.1,.,.,10.75,3.2,15.0,18.26,15.57,.,.,.,9.39,.,0,10/31/2009,Cleveland,Charlotte,14.5,11.14,9.47,6.89,12.76,12.5,3.47,16.1,.,.,10.75,3.2,15.0,18.26,15.57,.,.,.,9.39,.
32,32,33,"Sat, Oct 31, 2009",Box Score,Portland Trail Blazers,107,Houston Rockets,111,,,0,2009-10-31 00:00:00,111,107,10/31/2009,Houston,Portland,-3,2.28,3.36,3.94,2.82,-3.5,1.0,2.9,.,.,-1.75,6.91,0.01,0.48,4.5,.,.,.,2.03,.,0,10/31/2009,Houston,Portland,-3,2.28,3.36,3.94,2.82,-3.5,1.0,2.9,.,.,-1.75,6.91,0.01,0.48,4.5,.,.,.,2.03,.
33,33,34,"Sat, Oct 31, 2009",Box Score,Dallas Mavericks,93,Los Angeles Clippers,84,,,0,2009-10-31 00:00:00,84,93,10/31/2009,LA Clippers,Dallas,-5,-3.63,-4.95,-6.54,-4.17,-4,1.42,-2.1,.,.,-2.0,0.79,-10.0,-3.2,-6.91,.,.,.,-3.6,.,0,10/31/2009,LA Clippers,Dallas,-5,-3.63,-4.95,-6.54,-4.17,-4,1.42,-2.1,.,.,-2.0,0.79,-10.0,-3.2,-6.91,.,.,.,-3.6,.
34,34,35,"Sat, Oct 31, 2009",Box Score,Detroit Pistons,85,Milwaukee Bucks,96,,,0,2009-10-31 00:00:00,96,85,10/31/2009,Milwaukee,Detroit,3,0.1,-0.95,-0.26,-1.67,3,1.48,-0.2,.,.,-2.75,5.1,1.0,-0.3,-0.74,.,.,.,-0.64,.,0,10/31/2009,Milwaukee,Detroit,3,0.1,-0.95,-0.26,-1.67,3,1.48,-0.2,.,.,-2.75,5.1,1.0,-0.3,-0.74,.,.,.,-0.64,.
35,35,36,"Sat, Oct 31, 2009",Box Score,Philadelphia 76ers,141,New York Knicks,127,OT,,0,2009-10-31 00:00:00,127,141,10/31/2009,New York,Philadelphia,-2,1.07,-0.46,0.31,-1.39,-1.5,2.42,1.7,.,.,-0.75,1.48,3.0,3.1,1.15,.,.,.,-0.32,.,0,10/31/2009,New York,Philadelphia,-2,1.07,-0.46,0.31,-1.39,-1.5,2.42,1.7,.,.,-0.75,1.48,3.0,3.1,1.15,.,.,.,-0.32,.
36,36,37,"Sat, Oct 31, 2009",Box Score,Sacramento Kings,94,San Antonio Spurs,113,,,0,2009-10-31 00:00:00,113,94,10/31/2009,San Antonio,Sacramento,16.5,11.87,12.17,12.0,12.35,15,5.05,14.4,.,.,13.0,7.16,13.0,17.71,12.32,.,.,.,11.69,.,0,10/31/2009,San Antonio,Sacramento,16.5,11.87,12.17,12.0,12.35,15,5.05,14.4,.,.,13.0,7.16,13.0,17.71,12.32,.,.,.,11.69,.
37,37,38,"Sat, Oct 31, 2009",Box Score,New Jersey Nets,104,Washington Wizards,123,,,0,2009-10-31 00:00:00,123,104,10/31/2009,Washington,New Jersey,5,5.13,7.64,8.73,6.77,8,4.29,11.0,.,.,8.75,3.44,0.01,8.9,-3.21,.,.,.,2.59,.,0,10/31/2009,Washington,New Jersey,5,5.13,7.64,8.73,6.77,8,4.29,11.0,.,.,8.75,3.44,0.01,8.9,-3.21,.,.,.,2.59,.
38,38,39,"Sun, Nov 1, 2009",Box Score,New Orleans Hornets,87,Boston Celtics,97,,,0,2009-11-01 00:00:00,97,87,11/1/2009,Boston,New orleans,10.5,12.27,14.62,13.43,15.95,11.5,5.57,11.9,.,.,9.25,15.02,16.0,19.65,6.81,.,.,.,9.13,.,0,11/1/2009,Boston,New orleans,10.5,12.27,14.62,13.43,15.95,11.5,5.57,11.9,.,.,9.25,15.02,16.0,19.65,6.81,.,.,.,9.13,.
