"","Date","","Visitor/Neutral","PTS","Home/Neutral","PTS","","Notes"
"86","Wed, Jan 4, 2012","Box Score","Houston Rockets","89","Los Angeles Clippers","117","",""
"87","Wed, Jan 4, 2012","Box Score","Indiana Pacers","83","Miami Heat","118","",""
"88","Wed, Jan 4, 2012","Box Score","Memphis Grizzlies","90","Minnesota Timberwolves","86","",""
"89","Wed, Jan 4, 2012","Box Score","Philadelphia 76ers","101","New Orleans Hornets","93","",""
"90","Wed, Jan 4, 2012","Box Score","Charlotte Bobcats","118","New York Knicks","110","",""
"91","Wed, Jan 4, 2012","Box Score","Washington Wizards","85","Orlando Magic","103","",""
"92","Wed, Jan 4, 2012","Box Score","Golden State Warriors","95","San Antonio Spurs","101","",""
"93","Wed, Jan 4, 2012","Box Score","Cleveland Cavaliers","77","Toronto Raptors","92","",""
"94","Thu, Jan 5, 2012","Box Score","Miami Heat","116","Atlanta Hawks","109","3OT",""
"95","Thu, Jan 5, 2012","Box Score","Los Angeles Lakers","96","Portland Trail Blazers","107","",""
"96","Thu, Jan 5, 2012","Box Score","Milwaukee Bucks","100","Sacramento Kings","103","",""
"97","Thu, Jan 5, 2012","Box Score","Dallas Mavericks","71","San Antonio Spurs","93","",""
"98","Fri, Jan 6, 2012","Box Score","Indiana Pacers","87","Boston Celtics","74","",""
"99","Fri, Jan 6, 2012","Box Score","Atlanta Hawks","102","Charlotte Bobcats","96","OT",""
"100","Fri, Jan 6, 2012","Box Score","Golden State Warriors","90","Los Angeles Lakers","97","",""
"101","Fri, Jan 6, 2012","Box Score","Cleveland Cavaliers","98","Minnesota Timberwolves","87","",""
"102","Fri, Jan 6, 2012","Box Score","Denver Nuggets","96","New Orleans Hornets","88","",""
"103","Fri, Jan 6, 2012","Box Score","Houston Rockets","94","Oklahoma City Thunder","109","",""
"104","Fri, Jan 6, 2012","Box Score","Chicago Bulls","97","Orlando Magic","83","",""
"105","Fri, Jan 6, 2012","Box Score","Detroit Pistons","73","Philadelphia 76ers","96","",""
"106","Fri, Jan 6, 2012","Box Score","Portland Trail Blazers","77","Phoenix Suns","102","",""
"107","Fri, Jan 6, 2012","Box Score","New Jersey Nets","97","Toronto Raptors","85","",""
"108","Fri, Jan 6, 2012","Box Score","Memphis Grizzlies","85","Utah Jazz","94","",""
"109","Fri, Jan 6, 2012","Box Score","New York Knicks","99","Washington Wizards","96","",""
"110","Sat, Jan 7, 2012","Box Score","Chicago Bulls","94","Atlanta Hawks","109","",""
"111","Sat, Jan 7, 2012","Box Score","New Orleans Hornets","81","Dallas Mavericks","96","",""
"112","Sat, Jan 7, 2012","Box Score","New York Knicks","103","Detroit Pistons","80","",""
"113","Sat, Jan 7, 2012","Box Score","Utah Jazz","88","Golden State Warriors","87","",""
"114","Sat, Jan 7, 2012","Box Score","Oklahoma City Thunder","98","Houston Rockets","95","",""
"115","Sat, Jan 7, 2012","Box Score","Charlotte Bobcats","77","Indiana Pacers","99","",""
"116","Sat, Jan 7, 2012","Box Score","Milwaukee Bucks","86","Los Angeles Clippers","92","",""
"117","Sat, Jan 7, 2012","Box Score","Miami Heat","101","New Jersey Nets","90","",""
"118","Sat, Jan 7, 2012","Box Score","Toronto Raptors","62","Philadelphia 76ers","97","",""
"119","Sat, Jan 7, 2012","Box Score","Denver Nuggets","117","San Antonio Spurs","121","",""
"120","Sun, Jan 8, 2012","Box Score","Memphis Grizzlies","82","Los Angeles Lakers","90","",""
"121","Sun, Jan 8, 2012","Box Score","San Antonio Spurs","96","Oklahoma City Thunder","108","",""
"122","Sun, Jan 8, 2012","Box Score","Milwaukee Bucks","93","Phoenix Suns","109","",""
"123","Sun, Jan 8, 2012","Box Score","Cleveland Cavaliers","78","Portland Trail Blazers","98","",""
"124","Sun, Jan 8, 2012","Box Score","Orlando Magic","104","Sacramento Kings","97","",""
"125","Sun, Jan 8, 2012","Box Score","Minnesota Timberwolves","93","Washington Wizards","72","",""
