date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
11/04/2014,Toronto,100,Oklahoma City,88,11.5,8.59,5.18,6.73,2.17,9,6.43,2.5,7.12,25.67,5,8,,10.15,7.82,6.9,10.2,16.39
11/05/2014,Boston,107,Toronto,110,2,0.7,3.51,1.7,7.42,0,1.28,-1.5,3.29,-3,-4,-1.47,-4.14,1.55,0.18,-3.5,-1,10.17
11/05/2014,Brooklyn,91,Minnesota,98,5,6.41,9.45,7.33,11.2,5,1.91,10.8,10.79,0.15,4,3.56,2.1,4.4,-0.86,13.9,4.4,12.99
11/05/2014,Charlotte,96,Miami,89,1.5,-1.29,-3.9,-3.92,-4.06,2.5,0.25,2.6,-3.78,-4,-1,-2.22,-0.73,0.53,-4.04,5.6,1.5,-2.23
11/05/2014,Detroit,98,New York,95,4,1.51,2.05,-1.6,5.45,4,3.28,-0.1,3.9,0.01,-3,2.25,0.03,6.5,-1.47,-5.3,2.5,8.09
11/05/2014,Golden State,121,LA Clippers,104,4.5,8.18,13.01,12.44,13.56,4.5,3.38,5.8,13.47,8.97,7,4.11,2.86,0.9,13.33,4.4,4.8,14.61
11/05/2014,Milwaukee,86,Chicago,95,-4.5,-2.27,2.75,0.85,4.63,-7,0.8,-6.4,3.11,-3.83,-3,-5.14,-6.82,-3.54,-6.22,-11.9,-4.3,5.01
11/05/2014,Philadelphia,89,Orlando,91,-3,1.65,3.25,2.74,4.14,-1,2.85,2.3,2.66,-0.9,1,-2.36,-2.45,1.14,-1.26,5.7,0.8,5.09
11/05/2014,Phoenix,91,Memphis,102,-1.5,1.02,0.2,-1.22,0.44,1,0.99,1.3,1.04,4.5,3,-2.41,3.31,-2.31,-0.23,3.1,0.9,2.65
11/05/2014,Sacramento,131,Denver,109,4,5.54,10.87,11.7,10.59,1.5,3.42,4.2,10.78,2.45,3,-0.19,4.04,1.51,8.67,-0.9,2.6,10.4
11/05/2014,San Antonio,94,Atlanta,92,7.5,6.57,3.84,4.47,4.3,8.5,2.85,13.9,2.81,-2.53,17,5.09,11.77,5.16,6.45,9.6,7.4,6.45
11/05/2014,Utah,102,Cleveland,100,-5.5,0.87,6.9,4.76,11.64,-6,2.32,-6.1,5.75,0.74,-3,-4.55,0.55,-4.35,6.37,-16.2,-3.4,11.68
11/05/2014,Washington,96,Indiana,94,9.5,8.65,12.6,13.1,10.94,8.5,2.95,11.1,13.66,2.17,11,10.93,4.5,9.07,5.96,1.9,9.4,10.51
11/06/2014,Houston,98,San Antonio,81,7,6.14,9.99,10.07,8.82,3,5.93,4.2,11.36,12.19,-2,5.24,0.56,3.49,9.64,-1.2,2.5,11.32
11/06/2014,Portland,108,Dallas,87,2,1.75,1.2,0.11,0.25,3,3.48,2.8,2.72,3.47,2,-0.49,1.56,4.06,-1.38,2.1,3.2,1.13
11/07/2014,Boston,101,Indiana,98,5,5.43,6.91,6.72,9.15,5.5,3.38,3,5.72,11.67,2,6.91,,5.92,7.85,-4.4,4.8,6.41
11/07/2014,Brooklyn,110,New York,99,6,5.84,7.93,4.99,12.38,5.5,5.38,5.5,8.02,3.86,3,7.3,,5.54,4.25,3.1,3.2,7.36
11/07/2014,Charlotte,122,Atlanta,119,1.5,1.71,2.06,2.94,1.76,3,1.91,6.2,1.39,-3.65,4,-0.07,,-1,0.15,4.6,2,1.59
11/07/2014,Denver,101,Cleveland,110,-5.5,-1.26,1.21,1.88,0.74,-4.5,2.85,-3.8,0.81,2.66,0.01,-6.86,,-4.4,-0.28,-11,-2.1,0.69
11/07/2014,Detroit,98,Milwaukee,95,5,1.92,-0.38,-0.16,-0.9,5.5,1.33,5.3,-0.4,1.23,1,0.96,,5.85,-0.7,9.1,4.1,0.57
11/07/2014,Oklahoma City,89,Memphis,91,-7,-4.01,-5.61,-7.09,-5.09,-7.5,-2.35,6.9,-5.05,-12.54,-2,-7.68,,-4.66,0.61,-4.8,-4.9,-1.9
11/07/2014,Orlando,112,Minnesota,103,-4,-2.97,-2.62,-2.71,-3.76,-4,-0.72,3.6,-1.76,-11.36,-6,-7.71,,-2,-5.44,0.7,-0.4,-1.34
11/07/2014,Philadelphia,115,Chicago,118,-10,-8.66,-7.73,-9.56,-6.22,-11.5,-2.35,-9.4,-7.44,-14.29,-9,-14.29,,-7.5,-13.77,-7.7,-9,-3.05
11/07/2014,Phoenix,112,Sacramento,114,5,1.78,-2.15,-1.49,-3.32,4,1.99,6,-2.22,4.75,3,0.13,,5.94,1.06,9.5,3.5,-1.73
11/07/2014,Toronto,103,Washington,84,3,4.91,4.95,3.83,6.3,4.5,4.85,3.8,4.92,13.29,3,3.34,,3.8,8.45,0.7,3,4.53
11/07/2014,Utah,82,Dallas,105,-2.5,-1.68,0.02,0.27,0.08,-3.5,0.37,-4,-0.44,-4.38,-4,-3.96,,0.97,-2.48,-4.2,-2.7,0.95
11/08/2014,Atlanta,103,New York,96,6.5,6.12,7.23,4.91,10.55,6,5.86,4,7.43,7.4,3,7.17,3.11,9.4,9.94,-2.5,5.4,8.9
11/08/2014,Chicago,101,Boston,106,9,7.68,6.96,8.47,4.49,10,5.91,14.7,7.3,3.33,10,6.59,8.9,7.96,5.54,12,9.4,3.6
11/08/2014,Houston,87,Golden State,98,1,2.94,2.6,3.24,1.57,4.5,3.89,5.5,3.95,9.99,3,-0.4,3.27,0.68,1.57,-0.3,2.6,2.93
11/08/2014,Indiana,90,Washington,97,-3.5,-1.06,-2.2,-4.71,-0.42,-3,1.02,-0.3,-1.44,-1.71,-2,-5.35,0.54,-3.42,0.78,3.3,-2.6,2.62
11/08/2014,LA Clippers,106,Portland,102,4.5,0.9,-1.7,0.78,-4.28,3.5,1.17,6.1,-3.04,-1.88,1,-2.33,4.98,5.7,1.82,5,1.7,-1.55
11/08/2014,Miami,102,Minnesota,92,7.5,6.14,3.59,3.55,2.69,6.5,4.87,10.8,4.24,8.36,5,8.94,4.33,6.64,9.02,8.7,5.4,5.9
11/08/2014,Milwaukee,93,Memphis,92,-5,-4.11,-2.51,-5.09,-1.96,-6,-1.35,-3.7,-0.83,-4.68,-4,-7.99,-7.15,-2.18,-5.54,-12.1,-2.9,0.35
11/08/2014,San Antonio,99,New Orleans,100,7.5,5.34,2.14,3.58,0.58,7.5,0.84,12.3,1.83,-5.17,13,5.21,11.29,5.28,4.52,13.8,7.9,2.95
11/09/2014,Brooklyn,104,Orlando,96,9,8.93,7.69,5.88,8.48,9.5,6.43,10.4,9.02,11.08,11,7.38,9.56,8.19,11.07,13.5,7,7.31
